dep_code;year;panel;bdm;diff;status
57;2017;9.6;9.5;0.1;WITHIN_0.1
57;2018;8.8;8.8;0.0;EXACT
57;2019;8.2;8.2;0.0;EXACT
57;2020;7.8;7.8;0.0;EXACT
57;2021;7.8;7.8;0.0;EXACT
58;2012;9.7;9.7;0.0;EXACT
58;2013;9.9;9.9;0.0;EXACT
58;2014;9.6;9.6;0.0;EXACT
58;2015;9.8;9.7;0.1;WITHIN_0.1
58;2016;9.3;9.3;0.0;EXACT
58;2017;8.4;8.4;0.0;EXACT
58;2018;7.7;7.7;0.0;EXACT
58;2019;7.3;7.3;0.0;EXACT
58;2020;6.8;6.8;0.0;EXACT
58;2021;6.7;6.6;0.1;WITHIN_0.1
59;2012;12.8;12.8;0.0;EXACT
59;2013;13.3;13.3;0.0;EXACT
59;2014;13.0;13.0;0.0;EXACT
59;2015;13.1;13.0;0.1;WITHIN_0.1
59;2016;12.6;12.6;0.0;EXACT
59;2017;12.2;12.2;0.0;EXACT
59;2018;11.9;11.9;0.0;EXACT
59;2019;10.9;11.0;0.1;WITHIN_0.1
59;2020;10.0;10.0;0.0;EXACT
59;2021;9.8;9.8;0.0;EXACT
60;2012;9.7;9.7;0.0;EXACT
60;2013;10.3;10.3;0.0;EXACT
60;2014;10.1;10.1;0.0;EXACT
60;2015;10.2;10.2;0.0;EXACT
60;2016;9.9;10.0;0.1;WITHIN_0.1
60;2017;9.4;9.4;0.0;EXACT
60;2018;9.0;9.0;0.0;EXACT
60;2019;8.3;8.3;0.0;EXACT
60;2020;8.1;8.1;0.0;EXACT
