dep_code;year;total_firm_creations;creations_individual;creations_sarl;creations_sas;creations_other_legal;creations_sector_industry;creations_sector_construction;creations_sector_trade;creations_sector_services
30;2020;9430;7150;788;1362;130;529;1264;2170;5467
30;2021;11591;8618;942;1878;153;697;1448;2234;7212
31;2012;13031;9501;2547;690;293;552;2157;2269;8053
31;2013;12828;9390;2014;1082;342;603;1971;2243;8011
31;2014;13572;9777;1909;1577;309;694;1999;2264;8615
31;2015;12963;9063;1607;1868;425;632;1639;2077;8615
31;2016;14202;9735;1531;2494;442;551;1745;2819;9087
31;2017;15853;11341;1445;2615;452;498;1832;3086;10437
31;2018;18578;14096;1448;2591;443;568;1912;3173;12925
31;2019;22621;17707;1479;3035;400;813;2196;3657;15955
31;2020;23446;18550;1278;3226;392;881;2315;4423;15827
31;2021;26848;20393;1613;4418;424;1239;2585;3977;19047
32;2012;1565;1188;274;75;28;88;295;318;864
32;2013;1480;1130;193;119;38;108;284;285;803
32;2014;1621;1277;180;132;32;149;254;338;880
32;2015;1502;1138;184;155;25;108;246;309;839
32;2016;1605;1187;179;211;28;125;209;345;926
32;2017;1482;1098;144;209;31;89;177;346;870
32;2018;1707;1354;127;194;32;127;207;364;1009
32;2019;1881;1499;144;207;31;145;228;383;1125
32;2020;2051;1655;125;244;27;162;239;502;1148
32;2021;2499;1924;207;336;32;240;265;506;1488
33;2012;15991;11601;3414;722;254;802;2492;3375;9322
33;2013;17277;12771;3072;1120;314;936;2645;3469;10227
33;2014;17832;13120;2783;1631;298;1006;2557;3697;10572
33;2015;17764;12807;2436;2156;365;782;2288;3465;11229
33;2016;18839;13358;2319;2783;379;694;2142;3801;12202
33;2017;21562;15505;2260;3384;413;801;2366;4467;13928
33;2018;24708;18721;2297;3243;447;914;2623;4780;16391
33;2019;27400;21213;2239;3470;478;1157;3169;4742;18332
33;2020;27263;21189;1993;3727;354;1189;2792;4948;18334
33;2021;33076;25234;2480;4923;439;1637;3199;5176;23064
34;2012;14117;10313;2844;711;249;582;2519;3009;8007
34;2013;13805;9896;2378;1290;241;624;2319;2978;7884
34;2014;14107;10192;2025;1639;251;666;2197;2939;8305
34;2015;13758;9521;1806;2175;256;707;1995;2980;8076
34;2016;14308;9655;1689;2669;295;683;1960;3068;8597
34;2017;15502;10742;1532;2910;318;678;1935;3153;9736
34;2018;16754;12145;1471;2844;294;757;2016;2960;11021
34;2019;19609;14440;1497;3299;373;997;2507;2969;13136
34;2020;20257;15251;1339;3341;326;906;2496;3467;13388
34;2021;24150;17773;1688;4325;364;1175;2673;3433;16869
35;2012;6902;4783;1670;223;226;419;798;1333;4352
35;2013;7287;5172;1529;337;249;439;726;1519;4603
35;2014;7449;5233;1472;466;278;421;739;1383;4906
35;2015;7077;4853;1329;570;325;354;605;1377;4741
35;2016;7673;5229;1426;719;299;358;609;1530;5176
35;2017;8295;5677;1381;862;375;366;599;1575;5755
35;2018;9589;6918;1377;948;346;415;728;1673;6773
35;2019;11021;7986;1507;1159;369;561;841;1675;7944
35;2020;11513;8335;1384;1428;366;667;826;2055;7965
35;2021;14135;10223;1635;1857;420;769;1085;2158;10123
36;2012;1301;1032;204;41;24;111;204;319;667
36;2013;1132;884;148;76;24;83;155;269;625
36;2014;1264;991;156;96;21;115;160;304;685
36;2015;1163;888;145;116;14;100;130;298;635
36;2016;1167;889;129;120;29;82;129;312;644
36;2017;1221;970;106;117;28;81;101;374;665
36;2018;1294;1037;99;123;35;80;126;355;733
36;2019;1482;1211;106;140;25;105;130;351;896
36;2020;1616;1325;114;158;19;124;131;422;939
36;2021;1976;1588;148;209;31;164;184;477;1151
37;2012;4380;3327;821;141;91;249;656;981;2494
37;2013;4262;3298;681;225;58;220;550;1035;2457
37;2014;4411;3304;710;326;71;254;503;961;2693
37;2015;4155;3019;618;443;75;208;436;961;2550
37;2016;4310;3112;591;531;76;201;427;1047;2635
37;2017;4809;3555;573;602;79;231;436;1116;3026
37;2018;5668;4432;590;586;60;237;434;1187;3810
37;2019;6460;5087;636;644;93;310;588;1208;4354
37;2020;6706;5290;605;721;90;342;536;1310;4518
37;2021;8368;6553;714;1018;83;513;672;1284;5899
38;2012;10899;8069;2165;480;185;574;1923;2016;6386
38;2013;11247;8304;1840;877;226;654;1956;2153;6484
38;2014;11620;8619;1570;1237;194;738;1861;2163;6858
38;2015;10733;7717;1276;1531;209;549;1494;2111;6579
38;2016;11170;8006;1212;1723;229;521;1419;2373;6857
38;2017;12310;8954;1184;1933;239;502;1578;2512;7718
38;2018;13916;10625;1212;1843;236;544;1744;2550;9078
38;2019;16612;13105;1212;2049;246;900;2157;2830;10725
38;2020;16928;13374;1153;2192;209;885;2130;3066;10847
38;2021;19282;14722;1483;2830;247;1172;2256;2921;12933
39;2012;1860;1432;304;87;37;149;306;457;948
39;2013;1826;1418;262;115;31;139;259;501;927
39;2014;1738;1359;199;150;30;189;216;437;896
39;2015;1602;1210;183;183;26;137;178;420;867
39;2016;1695;1244;179;236;36;132;214;441;908
39;2017;1862;1378;185;273;26;125;230;514;993
39;2018;2096;1582;226;250;38;164;236;573;1123
39;2019;2284;1763;203;284;34;180;307;584;1213
39;2020;2422;1892;181;322;27;190;271;718;1243
39;2021;2764;2074;226;423;41;249;307;631;1577
40;2012;3543;2804;603;85;51;218;528;794;2003
40;2013;3597;2832;543;162;60;220;482;838;2057
40;2014;3724;2920;515;237;52;281;481;892;2070
40;2015;3525;2746;413;302;64;225;411;811;2078
40;2016;3762;2777;465;454;66;285;431;775;2271
40;2017;3896;2885;448;505;58;255;416;860;2365
40;2018;4337;3385;465;426;61;249;441;935;2712
40;2019;5318;4237;447;548;86;295;535;1193;3295
40;2020;5263;4179;431;602;51;366;509;1328;3060
40;2021;6257;4806;591;809;51;454;601;1208;3994
41;2012;2109;1525;480;68;36;160;360;545;1044
41;2013;2065;1576;348;96;45;135;290;557;1083
41;2014;2024;1535;307;149;33;126;274;573;1051
41;2015;2100;1571;298;186;45;115;244;645;1096
41;2016;2151;1563;283;255;50;110;263;650;1128
41;2017;2211;1580;274;315;42;121;262;641;1187
41;2018;2393;1805;257;287;44;106;239;718;1330
41;2019;2793;2082;306;335;70;179;314;684;1616
41;2020;2949;2263;263;369;54;163;293;753;1740
41;2021;3356;2469;338;490;59;242;341;707;2066
42;2012;5534;4009;1076;340;109;355;893;1145;3141
42;2013;5547;4026;935;493;93;341;908;1288;3010
42;2014;5691;4205;777;637;72;367;903;1322;3099
42;2015;5342;3786;691;773;92;310;738;1289;3005
42;2016;5481;3797;651;958;75;301;776;1362;3042
42;2017;5956;4183;585;1095;93;345;764;1422;3425
42;2018;6733;5069;589;985;90;308;844;1564;4017
42;2019;8234;6337;583;1229;85;463;1019;1710;5042
42;2020;8932;6910;599;1326;97;508;1094;2013;5317
42;2021;10161;7541;751;1759;110;628;1234;1839;6460
43;2012;1399;1041;257;63;38;90;225;299;785
43;2013;1471;1124;227;81;39;126;239;298;808
43;2014;1417;1099;177;94;47;123;201;286;807
43;2015;1374;1045;151;138;40;113;188;280;793
43;2016;1296;915;168;185;28;90;136;320;750
43;2017;1451;1047;174;202;28;101;143;329;878
43;2018;1561;1173;164;198;26;117;179;359;906
43;2019;1794;1353;174;225;42;140;205;341;1108
43;2020;1928;1425;214;261;28;173;202;377;1176
43;2021;2309;1628;270;371;40;289;226;400;1394
44;2012;10855;7776;2394;425;260;615;1454;1879;6907
44;2013;10584;7574;2132;635;243;589;1296;2010;6689
44;2014;11485;8430;2021;789;245;776;1212;2299;7198
44;2015;11097;7927;1829;1076;265;635;992;2226;7244
44;2016;11862;8382;1768;1394;318;527;1020;2288;8027
44;2017;13097;9187;1832;1750;328;575;1067;2659;8796
44;2018;13958;10261;1801;1595;301;628;1164;2575;9591
44;2019;16555;12234;2022;1973;326;780;1435;2359;11981
44;2020;17159;12803;1767;2262;327;902;1455;2749;12053
44;2021;21105;15557;2276;2851;421;1224;1748;3014;15119
45;2012;4434;3236;975;143;80;224;709;1114;2387
45;2013;4609;3422;830;267;90;244;639;1273;2453
45;2014;4608;3470;682;366;90;239;660;1183;2526
45;2015;4440;3140;624;564;112;207;568;1249;2416
45;2016;4600;3159;606;735;100;202;570;1388;2440
45;2017;4749;3350;517;765;117;179;603;1384;2583
45;2018;5699;4300;519;767;113;205;633;1593;3268
45;2019;6369;4870;490;894;115;290;711;1596;3772
45;2020;6723;5196;499;928;100;287;711;1810;3915
45;2021;8123;6221;610;1174;118;381;790;1887;5065
46;2012;1402;1159;173;56;14;106;218;306;772
46;2013;1338;1113;117;88;20;102;211;296;729
46;2014;1433;1161;136;112;24;129;222;273;809
46;2015;1285;1002;126;127;30;100;163;252;770
46;2016;1345;1048;130;154;13;88;173;301;783
46;2017;1333;1045;118;154;16;113;141;304;775
46;2018;1543;1256;125;144;18;133;158;316;936
46;2019;1707;1391;129;166;21;166;177;321;1043
46;2020;1811;1446;133;205;27;173;227;362;1049
46;2021;2115;1663;184;247;21;236;233;366;1280
47;2012;2463;1831;474;104;54;190;366;576;1331
47;2013;2530;1949;370;166;45;206;409;629;1286
47;2014;2421;1822;364;188;47;199;339;579;1304
47;2015;2279;1696;300;237;46;158;271;582;1268
47;2016;2386;1769;286;289;42;136;282;631;1337
47;2017;2543;1873;253;345;72;160;282;669;1432
47;2018;2755;2090;279;340;46;177;294;702;1582
47;2019;3275;2477;280;437;81;240;351;693;1991
47;2020;3390;2704;218;433;35;208;336;816;2030
47;2021;4044;3076;299;623;46;313;430;813;2488
48;2012;504;392;83;19;10;39;82;86;297
48;2013;446;344;60;32;10;39;55;98;254
48;2014;522;405;56;40;21;56;66;91;309
48;2015;460;324;63;48;25;45;45;91;279
48;2016;413;316;43;45;9;34;53;64;262
48;2017;486;359;37;78;12;56;46;87;297
48;2018;494;374;47;60;13;43;44;103;304
48;2019;519;409;48;49;13;59;48;103;309
48;2020;579;431;60;81;7;68;62;120;329
48;2021;777;564;52;149;12;148;61;108;460
49;2012;4998;3655;1076;165;102;379;650;1120;2849
49;2013;5013;3787;910;208;108;322;616;1221;2854
49;2014;5154;3869;869;290;126;331;609;1179;3035
49;2015;5067;3776;775;388;128;299;483;1250;3035
49;2016;5011;3594;817;505;95;303;469;1268;2971
49;2017;5438;3929;787;576;146;273;511;1342;3312
49;2018;6267;4725;848;567;127;355;519;1416;3977
49;2019;7376;5594;908;713;161;417;664;1559;4736
49;2020;7608;5926;792;782;108;517;634;1789;4668
49;2021;9480;7220;1029;1092;139;643;759;1825;6253
50;2012;2561;2068;370;70;53;145;310;644;1462
50;2013;2443;1939;344;99;61;151;250;648;1394
50;2014;2609;1988;423;141;57;176;256;636;1541
50;2015;2400;1815;359;171;55;180;190;594;1436
50;2016;2596;1913;408;210;65;170;227;716;1483
50;2017;2690;1952;416;248;74;162;228;765;1535
50;2018;2950;2231;406;246;67;196;225;847;1682
50;2019;3448;2726;405;242;75;242;283;820;2103
50;2020;3676;2877;401;313;85;300;293;919;2164
50;2021;4248;3187;545;422;94;347;355;931;2615
51;2012;3576;2622;690;144;120;189;494;766;2127
