dep_code;year;pct_urban;density_class;density_is_static
"72";2021;40.964604;rural;True
"73";2012;52.096253;intermediate;True
"73";2013;52.096253;intermediate;True
"73";2014;52.096253;intermediate;True
"73";2015;52.096253;intermediate;True
"73";2016;52.096253;intermediate;True
"73";2017;52.096253;intermediate;True
"73";2018;52.096253;intermediate;True
"73";2019;52.096253;intermediate;True
"73";2020;52.096253;intermediate;True
"73";2021;52.096253;intermediate;True
"74";2012;67.423915;intermediate;True
"74";2013;67.423915;intermediate;True
"74";2014;67.423915;intermediate;True
"74";2015;67.423915;intermediate;True
"74";2016;67.423915;intermediate;True
"74";2017;67.423915;intermediate;True
"74";2018;67.423915;intermediate;True
"74";2019;67.423915;intermediate;True
"74";2020;67.423915;intermediate;True
"74";2021;67.423915;intermediate;True
"75";2012;100.0;urban;True
"75";2013;100.0;urban;True
"75";2014;100.0;urban;True
"75";2015;100.0;urban;True
"75";2016;100.0;urban;True
"75";2017;100.0;urban;True
"75";2018;100.0;urban;True
"75";2019;100.0;urban;True
"75";2020;100.0;urban;True
"75";2021;100.0;urban;True
"76";2012;64.205437;intermediate;True
"76";2013;64.205437;intermediate;True
"76";2014;64.205437;intermediate;True
"76";2015;64.205437;intermediate;True
"76";2016;64.205437;intermediate;True
"76";2017;64.205437;intermediate;True
"76";2018;64.205437;intermediate;True
"76";2019;64.205437;intermediate;True
"76";2020;64.205437;intermediate;True
"76";2021;64.205437;intermediate;True
"77";2012;76.46065;intermediate;True
"77";2013;76.46065;intermediate;True
"77";2014;76.46065;intermediate;True
"77";2015;76.46065;intermediate;True
"77";2016;76.46065;intermediate;True
"77";2017;76.46065;intermediate;True
"77";2018;76.46065;intermediate;True
"77";2019;76.46065;intermediate;True
"77";2020;76.46065;intermediate;True
"77";2021;76.46065;intermediate;True
"78";2012;90.18748;urban;True
"78";2013;90.18748;urban;True
"78";2014;90.18748;urban;True
"78";2015;90.18748;urban;True
"78";2016;90.18748;urban;True
"78";2017;90.18748;urban;True
"78";2018;90.18748;urban;True
"78";2019;90.18748;urban;True
"78";2020;90.18748;urban;True
"78";2021;90.18748;urban;True
"79";2012;30.227104;rural;True
"79";2013;30.227104;rural;True
"79";2014;30.227104;rural;True
"79";2015;30.227104;rural;True
"79";2016;30.227104;rural;True
"79";2017;30.227104;rural;True
